year,range_from,range_to,monthly_salary_credit,employer_regular_ss,employer_mpf,employer_ec,employer_total,employee_regular_ss,employee_mpf,employee_total,total_contribution
2025,0,5249.99,5000,500,0,10,510,250,0,250,760
2025,5250,5749.99,5500,550,0,10,560,275,0,275,835
2025,5750,6249.99,6000,600,0,10,610,300,0,300,910
2025,6250,6749.99,6500,650,0,10,660,325,0,325,985
2025,6750,7249.99,7000,700,0,10,710,350,0,350,1060
2025,7250,7749.99,7500,750,0,10,760,375,0,375,1135
2025,7750,8249.99,8000,800,0,10,810,400,0,400,1210
2025,8250,8749.99,8500,850,0,10,860,425,0,425,1285
2025,8750,9249.99,9000,900,0,10,910,450,0,450,1360
2025,9250,9749.99,9500,950,0,10,960,475,0,475,1435
2025,9750,10249.99,10000,1000,0,10,1010,500,0,500,1510
2025,10250,10749.99,10500,1050,0,10,1060,525,0,525,1585
2025,10750,11249.99,11000,1100,0,10,1110,550,0,550,1660
2025,11250,11749.99,11500,1150,0,10,1160,575,0,575,1735
2025,11750,12249.99,12000,1200,0,10,1210,600,0,600,1810
2025,12250,12749.99,12500,1250,0,10,1260,625,0,625,1885
2025,12750,13249.99,13000,1300,0,10,1310,650,0,650,1960
2025,13250,13749.99,13500,1350,0,10,1360,675,0,675,2035
2025,13750,14249.99,14000,1400,0,10,1410,700,0,700,2110
2025,14250,14749.99,14500,1450,0,10,1460,725,0,725,2185
2025,14750,15249.99,15000,1500,0,30,1530,750,0,750,2280
2025,15250,15749.99,15500,1550,0,30,1580,775,0,775,2355
2025,15750,16249.99,16000,1600,0,30,1630,800,0,800,2430
2025,16250,16749.99,16500,1650,0,30,1680,825,0,825,2505
2025,16750,17249.99,17000,1700,0,30,1730,850,0,850,2580
2025,17250,17749.99,17500,1750,0,30,1780,875,0,875,2655
2025,17750,18249.99,18000,1800,0,30,1830,900,0,900,2730
2025,18250,18749.99,18500,1850,0,30,1880,925,0,925,2805
2025,18750,19249.99,19000,1900,0,30,1930,950,0,950,2880
2025,19250,19749.99,19500,1950,0,30,1980,975,0,975,2955
2025,19750,20249.99,20000,2000,0,30,2030,1000,0,1000,3030
2025,20250,20749.99,20500,2000,50,30,2080,1000,25,1025,3105
2025,20750,21249.99,21000,2000,100,30,2130,1000,50,1050,3180
2025,21250,21749.99,21500,2000,150,30,2180,1000,75,1075,3255
2025,21750,22249.99,22000,2000,200,30,2230,1000,100,1100,3330
2025,22250,22749.99,22500,2000,250,30,2280,1000,125,1125,3405
2025,22750,23249.99,23000,2000,300,30,2330,1000,150,1150,3480
2025,23250,23749.99,23500,2000,350,30,2380,1000,175,1175,3555
2025,23750,24249.99,24000,2000,400,30,2430,1000,200,1200,3630
2025,24250,24749.99,24500,2000,450,30,2480,1000,225,1225,3705
2025,24750,25249.99,25000,2000,500,30,2530,1000,250,1250,3780
2025,25250,25749.99,25500,2000,550,30,2580,1000,275,1275,3855
2025,25750,26249.99,26000,2000,600,30,2630,1000,300,1300,3930
2025,26250,26749.99,26500,2000,650,30,2680,1000,325,1325,4005
2025,26750,27249.99,27000,2000,700,30,2730,1000,350,1350,4080
2025,27250,27749.99,27500,2000,750,30,2780,1000,375,1375,4155
2025,27750,28249.99,28000,2000,800,30,2830,1000,400,1400,4230
2025,28250,28749.99,28500,2000,850,30,2880,1000,425,1425,4305
2025,28750,29249.99,29000,2000,900,30,2930,1000,450,1450,4380
2025,29250,29749.99,29500,2000,950,30,2980,1000,475,1475,4455
2025,29750,30249.99,30000,2000,1000,30,3030,1000,500,1500,4530
2025,30250,30749.99,30500,2000,1050,30,3080,1000,525,1525,4605
2025,30750,31249.99,31000,2000,1100,30,3130,1000,550,1550,4680
2025,31250,31749.99,31500,2000,1150,30,3180,1000,575,1575,4755
2025,31750,32249.99,32000,2000,1200,30,3230,1000,600,1600,4830
2025,32250,32749.99,32500,2000,1250,30,3280,1000,625,1625,4905
2025,32750,33249.99,33000,2000,1300,30,3330,1000,650,1650,4980
2025,33250,33749.99,33500,2000,1350,30,3380,1000,675,1675,5055
2025,33750,34249.99,34000,2000,1400,30,3430,1000,700,1700,5130
2025,34250,34749.99,34500,2000,1450,30,3480,1000,725,1725,5205
2025,34750,100000000,35000,2000,1500,30,3530,1000,750,1750,5280